Date,Opponent_City,Opponent,Home_Away,Score,Opponent_Score,FPTS
9/9/19,New Orleans,Saints,a,28,30,30.7
9/15/19,Jacksonville,Jaguars,h,13,12,12.9
9/22/19,Los Angeles,Chargers,a,20,27,25.8
9/29/19,Carolina,Panthers,h,10,16,11.6
10/6/19,Atlanta,Falcons,h,53,32,41.7
10/13/19,Kansas City,Chiefs,a,31,24,29.4
10/20/19,Indianapolis,Colts,a,23,30,15.5
10/27/19,Oakland,Raiders,h,27,24,27.8
11/3/19,Jacksonville,Jaguars,a,26,3,19.7
11/17/19,Baltimore,Ravens,a,7,41,4
11/21/19,Indianapolis,Colts,h,20,17,18.9
12/1/19,New England,Patriots,h,28,22,28.9